preferredLabel;altLabels
filing machine operator;filing machine operator
pearl diver;pearl diver
test driver;test driver
consumer goods inspector;employee quality department consumer goods
rail vehicle production controller;rolling stock controller
sorter;inspector
crane operator team leader;crane foreman
crane driver at plant;crane operator
tower crane operator;crane operator tower crane
shoe factory warehouse worker;warehouse worker in a shoe factory
leather goods warehouse worker;leather goods warehouse worker
clothing warehouse worker;clothing warehouse assistant
warehouse assistant;warehouse assistant
finished leather warehouse manager;warehouse manager leather business
product development manager;head of product development
library manager;head of educational media centre
audiologist;hearing aid manufacturer
audiology equipment sales specialist;hearing equipment sales specialist
audiologist;audiologist
audiovisual technician;image and sound technician
video operator;video operator
foundry manager;foundry production manager
metal production manager;metal production manager
production manager metallurgy;technical engineer metallurgy and welding
research and development manager;head of R&D
director of higher education institution;general manager of college
cultural centre director;cultural centre manager
underground mining machinery and equipment operator;mine operation employee
underground miner;underground miner
stone driller;drilling rig operator
aggregates production worker;stone splitter
concrete machine operator;concrete plant operator
concrete block machine operator;concrete worker
car electrician;vehicle electrical and electronics technician
sheet presser;vinyl presser
museum director;museum conservatoire director
technician spinning mill;technician textile spinning mill
railway station manager;capacity manager
braiding machine technician;textile braiding technician
mattress production operator;mattress maker
non-wovens textile technician;technica non-wovens technician
operator fabric preparation;operator pulper
de-inking operator;fabric processor
wood pellets operator;wood pellets machine operator
operator chipper;operator chipper
brick kiln operator;tunnel kiln operator
brick and tile mixer operator;brick kiln press operator
steam boiler operator;steam boiler operator
wire harness assembly worker;wire and cable assembly worker
fireworks maker;fireworks maker
jewellery assembly worker;jewellery setter
public relations manager;public relations manager
Tourist information centre manager;tourist information centre manager
manager interpreting office;manager interpreting service
translation agency manager;director of translation agency
road transport manager;director of road transport
road transport division manager;fleet manager
signalman;points controller
train preparer;train preparer
level crossing attendant;level crossing attendant
manager of publishing rights;manager of publishing rights
chairman of university department;research unit manager
snow ploughman;snow plough driver
cable car operator;chairlift operator
director of claims;claims assessor
pension insurance manager;pension administrator
insurance product manager;insurance product specialist
manager aviation;manager aviation
basket maker;basket maker
manicurist;hand care specialist
head of marketing;head of marketing
category manager;commercial manager
manager online marketing;channel manager
marketing assistant;marketing assistant
promotion assistant;promotion assistant
media buyer;buyer of film time
market vendor;itinerant trader
overhaul technician;engine overhaul technician
market researcher;marketing analyst
customer experience manager;guest relations manager
street food vendor;ice cream man
metallurgist;foundry engineer
chemical metallurgist;metallurgical engineer
metallurgist;petrologist
dismantler/demolisher;demolition contractor
seaman;crew member
data typist;data steward
leather sorter;leather sorter
leather goods cutter;leather goods cutter
leather goods stitcher;leather stitcher
leather production machine operator;leather cutting machine operator
leather dyer;leather dyer
leather finisher;leather finishing assistant
tanner;tanner
leather measuring machine operator;leather measurer
actuarial consultant;mathematical assistant in insurance mathematics
upholsterer;upholsterer
upholsterer;furniture upholsterer
coach upholsterer;coach dresser
payroll administrator;payroll administrative assistant
prepared meat operator;processed meat operator
aquatic organism collector on land;mussel picker
bank receptionist;bank receptionist
assembly worker medical devices;assembly worker medical equipment
medical coder;medical registration secretary
assistant chiropractor;chiropractic assistant
medical secretarial assistant;medical secretarial assistant
acupuncturist;acupuncture therapist
mine worker;auxiliary miner
drainage worker;drainage pipe layer
coachman;coach valet
medical social worker;clinical social worker
mine supervisor;team leader in a mine
team leader in a mine;shift foreman mining
rehearsal director;répétiteur
dance rehearsal director;ballet rehearsal director
tyre technician;tyre specialist
orthopaedist;orthopaedist
batch machine operator;batch machine operator
extrusion machine operator;extrusion line operator
cake maker;cake maker
rolling machine operator;rolling machine operator
metal mill operator;metal miller
meteorology technician;meteorological information specialist
officer aeronautical information service;officer AIS
aeronautical information expert;aeronautical information specialist
meteorologist;meteorologist
aviation meteorologist;aviation meteorologist
weather forecaster;weather presenter
reproducer of antique furniture;creator of period furniture
furniture designer;interior and furniture designer
furniture restorer;furniture upholsterer
mining engineer;mining manager
health and safety engineer mining;health and safety engineer mining
mine development engineer;mining planning engineer
mine surveyor;mine surveyor
Geotechnical Engineer Mining;Geology Engineer
Industrial waste inspector;ILT inspector
hazardous materials and environment inspector;inspector federal environmental inspector
environmental educator;environmental educator
brick maker;tile maker
moulding press operator;ceramic worker
ceramic and porcelain designer;ceramic caster-finisher
model seamstress;model stitcher
fashion designer;fashion stylist
dental hygienist;dental hygienist
bartender;bartender
fire protection systems technician;fire prevention engineer
alarm systems technician;technician alarm systems
bartender;cocktail mixer
club host;club hostess
mobile phone repairer;telephone repairer
photographic equipment maker;photographic equipment maker
electricity meter fitter;electricity meter fitter
event electrician;event electrician
solar panel fitter;photovoltaic panel installer
mining electrician;mining electrician
electromechanical engineer;electrical installations fitter
panel builder;electrical panel builder
switchboard tester;control panel tester
medical physics expert;medical radiation physics safety specialist
Category specialist procurement;category specialist
reliability engineer;reliability engineer
youth information officer;youth information expert
smart home installer;home automation installer
data protection officer;privacy officer
marine renewable energy engineer;marine renewable energy installer
computer vision engineer;computer vision expert
security engineer embedded systems;internet of thing security engineer
EU funds manager;regional policy officer
mentor volunteers;volunteer support person
assessor of prior learning;prior learning assessor
microelectronics maintenance engineer;microelectronics equipment maintenance engineer
media integration operator;media integration operator
Blockchain developer;DLT specialist
drone pilot;civil drone operator
contract manager;contract management expert
sustainability manager;sustainability coordinator
cloud services engineer;cloud developer
mobility services manager;mobility solutions manager
ICT change and configuration manager;devops engineer
leather tanning technician;tanning technologist
volunteer manager;volunteer development manager
3D footwear developer;3D footwear expert
metal additives production operator;AM technician
employee contact research;covid disease researcher
operation technician offshore renewable energy plant;tidal farm operator
support technologist;support consultant for IT disability
health, safety and environment manager;corporate HSE manager
propulsion engineer;powertrain expert
project supporter;project deliverer
marine engineer;marine engineer
smart home engineer;home automation integrator
social entrepreneur;founder of social enterprise
blockchain architect;blockchain technology specialist
designer microelectronics;hardware engineer microelectronics
power electronics engineer;expert in power electronics
monitoring and evaluation officer;economic impact assessment officer
refrigeration, air and heating technology engineer;heat pump service engineer
smart manufacturing microelectronics engineer;expert in microelectronics technology
expert predictive maintenance;equipment reliability specialist
manager purchasing department;purchasing director
geothermal energy technician;geothermal installer
employee volunteer programme coordinator;company volunteer manager
service engineer onshore wind farm;service engineer wind turbines
alternative fuels engineer;fuel cell engineer
temperature screener;covid temperature screener
rubber technologist;expert in rubber technology
onshore wind energy engineer;onshore wind systems engineer
Geothermal energy engineer;technical consultant geothermal technology
marine renewable energy engineer;hydrodynamics engineer
fireplace installer;chimney engineer
COVID tester;covid community test facilitator
lean manager;lean supervisor
procurement support officer;procurement clerk
public procurement specialist;procurement agent
marine mechatronics technician;marine mechatronics technician
independent public procurement officer;government procurement officer
digital marketing manager;digital marketing officer
radiotherapist;therapy radiographer
materials engineer microelectronics;materials development engineer microelectronics
autonomous driving specialist;ADF test and validation engineer
homologation engineer;car homologation engineer
document manager;head document controller
marine biologist;marine biologist
marine painter;marine blaster
