tail;head;relation
Millwrights;industrial machinery mechanic;narrowMatch
Refractory Materials Repairers, Except Brickmasons;hand brick moulder;broadMatch
Electrical Power-Line Installers and Repairers;electricity distribution technician;exactMatch
Electrical Power-Line Installers and Repairers;overhead line worker;broadMatch
Electrical Power-Line Installers and Repairers;cable jointer;broadMatch
Electrical Power-Line Installers and Repairers;street lighting electrician;broadMatch
Telecommunications Line Installers and Repairers;communication infrastructure maintainer;exactMatch
Camera and Photographic Equipment Repairers;consumer electronics repair technician;narrowMatch
Medical Equipment Repairers;medical device engineering technician;narrowMatch
Medical Equipment Repairers;optical instrument repairer;broadMatch
Medical Equipment Repairers;medical device engineer;narrowMatch
Musical Instrument Repairers and Tuners;musical instrument technician;exactMatch
Musical Instrument Repairers and Tuners;instrument technician;broadMatch
Watch and Clock Repairers;watch and clock repairer;exactMatch
Maintenance and Repair Workers, General;handyman;exactMatch
Wind Turbine Service Technicians;offshore renewable energy technician;broadMatch
Coin, Vending, and Amusement Machine Servicers and Repairers;vending machine operator;narrowMatch
Commercial Divers;construction commercial diver;broadMatch
Commercial Divers;rescue diver;broadMatch
Commercial Divers;harvest diver;broadMatch
Locksmiths and Safe Repairers;locksmith;exactMatch
Manufactured Building and Mobile Home Installers;house builder;narrowMatch
Riggers;rigger;exactMatch
Riggers;high rigger;broadMatch
Riggers;ground rigger;broadMatch
Riggers;boat rigger;broadMatch
Signal and Track Switch Repairers;rail maintenance technician;narrowMatch
Geothermal Technicians;geothermal technician;exactMatch
First-Line Supervisors of Production and Operating Workers;production supervisor;exactMatch
First-Line Supervisors of Production and Operating Workers;plastic and rubber products manufacturing supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;machine operator supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;paper mill supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;metal production supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;footwear assembly supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;machinery assembly supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;rolling stock assembly supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;aircraft assembly supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;animal feed supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;container equipment assembly supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;dairy processing technician;broadMatch
First-Line Supervisors of Production and Operating Workers;electrical equipment production supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;electronics production supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;footwear production supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;greenÃÂ coffeeÃÂ coordinator;broadMatch
First-Line Supervisors of Production and Operating Workers;leather goods production supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;leather wet processing department manager;broadMatch
First-Line Supervisors of Production and Operating Workers;malt house supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;print studio supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;refinery shift manager;broadMatch
First-Line Supervisors of Production and Operating Workers;vessel assembly supervisor;broadMatch
First-Line Supervisors of Production and Operating Workers;welding coordinator;broadMatch
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers;aircraft assembler;exactMatch
Coil Winders, Tapers, and Finishers;insulating tube winder;broadMatch
Coil Winders, Tapers, and Finishers;winding machine operator;broadMatch
Electrical and Electronic Equipment Assemblers;electronic equipment assembler;broadMatch
Electrical and Electronic Equipment Assemblers;electrical equipment assembler;broadMatch
Electrical and Electronic Equipment Assemblers;control panel assembler;broadMatch
Electrical and Electronic Equipment Assemblers;battery assembler;broadMatch
Electromechanical Equipment Assemblers;electromechanical equipment assembler;exactMatch
Engine and Other Machine Assemblers;motor vehicle engine assembler;broadMatch
Engine and Other Machine Assemblers;vessel engine assembler;broadMatch
Engine and Other Machine Assemblers;aircraft engine assembler;broadMatch
Engine and Other Machine Assemblers;industrial machinery assembler;broadMatch
Structural Metal Fabricators and Fitters;ornamental metal worker;broadMatch
Structural Metal Fabricators and Fitters;spot welder;broadMatch
Structural Metal Fabricators and Fitters;metal products assembler;broadMatch
Structural Metal Fabricators and Fitters;riveter;broadMatch
Fiberglass Laminators and Fabricators;fiberglass laminator;exactMatch
Timing Device Assemblers and Adjusters;clock and watchmaker;broadMatch
Timing Device Assemblers and Adjusters;watch and clock repairer;broadMatch
Team Assemblers;industrial machinery assembler;broadMatch
Team Assemblers;metal products assembler;broadMatch
Team Assemblers;rolling stock assembler;broadMatch
Team Assemblers;motor vehicle parts assembler;broadMatch
Team Assemblers;bicycle assembler;broadMatch
Team Assemblers;vessel engine assembler;broadMatch
Team Assemblers;motor vehicle assembler;broadMatch
Team Assemblers;motor vehicle body assembler;broadMatch
Team Assemblers;motorcycle assembler;broadMatch
Team Assemblers;manufactured wooden building assembler;broadMatch
Assemblers and Fabricators, All Other;furniture assembler;broadMatch
Assemblers and Fabricators, All Other;wicker furniture maker;broadMatch
Bakers;baker;exactMatch
Bakers;pastry maker;broadMatch
Bakers;confectioner;broadMatch
Butchers and Meat Cutters;butcher;exactMatch
Butchers and Meat Cutters;kosher butcher;broadMatch
Butchers and Meat Cutters;halal butcher;broadMatch
Meat, Poultry, and Fish Cutters and Trimmers;meat cutter;broadMatch
Meat, Poultry, and Fish Cutters and Trimmers;fish trimmer;broadMatch
Slaughterers and Meat Packers;slaughterer;exactMatch
Slaughterers and Meat Packers;kosher slaughterer;broadMatch
Slaughterers and Meat Packers;halal slaughterer;broadMatch
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders;dryer attendant;broadMatch
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders;cacao bean roaster;broadMatch
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders;malt kiln operator;broadMatch
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders;coffee roaster;broadMatch
Food Batchmakers;brew house operator;broadMatch
Food Batchmakers;bulk filler;broadMatch
Food Batchmakers;candy machine operator;broadMatch
Food Batchmakers;hydrogenation machine operator;broadMatch
Food Processing Workers, All Other;blanching operator;broadMatch
Food Processing Workers, All Other;cellar operator;broadMatch
Food Processing Workers, All Other;chocolate moulding operator;broadMatch
Food Processing Workers, All Other;cider fermentation operator;broadMatch
Food Processing Workers, All Other;cocoa mill operator;broadMatch
Food Processing Workers, All Other;cocoa press operator;broadMatch
Food Processing Workers, All Other;coffee grinder;broadMatch
Food Processing Workers, All Other;dairy products maker;broadMatch
Food Processing Workers, All Other;fish production operator;broadMatch
Food Processing Workers, All Other;fruit and vegetable canner;broadMatch
Food Processing Workers, All Other;fruit-press operator;broadMatch
Food Processing Workers, All Other;honey extractor;broadMatch
Food Processing Workers, All Other;master coffee roaster;broadMatch
Food Processing Workers, All Other;milk reception operator;broadMatch
Food Processing Workers, All Other;oil mill operator;broadMatch
Food Processing Workers, All Other;yeast distiller;broadMatch
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic;extrusion machine operator;narrowMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;swaging machine operator;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;drop forging hammer worker;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;mechanical forging press worker;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;upsetting machine operator;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;metal drawing machine operator;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;hydraulic forging press worker;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;straightening machine operator;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;stamping press operator;broadMatch
Forging Machine Setters, Operators, and Tenders, Metal and Plastic;spring maker;broadMatch
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic;metal rolling mill operator;broadMatch
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic;plastic rolling machine operator;broadMatch
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;punch press operator;broadMatch
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;laser cutting machine operator;broadMatch
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;metal nibbling operator;broadMatch
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;metal sawing machine operator;broadMatch
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;slitter operator;broadMatch
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;straightening machine operator;broadMatch
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic;drilling machine operator;broadMatch
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic;boring machine operator;broadMatch
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic;drill press operator;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;cylindrical grinder operator;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;grinding machine operator;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;surface grinding machine operator;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;tool grinder;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;metal polisher;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;deburring machine operator;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;filing machine operator;broadMatch
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;abrasive blasting operator;broadMatch
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic;lathe and turning machine operator;exactMatch
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic;computer numerical control machine operator;narrowMatch
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic;screw machine operator;broadMatch
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic;metal planer operator;broadMatch
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic;metalworking lathe operator;broadMatch
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic;computer numerical control machine operator;narrowMatch
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic;milling machine operator;broadMatch
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic;metal planer operator;broadMatch
Machinists;gear machinist;broadMatch
Machinists;lathe and turning machine operator;broadMatch
Machinists;metal planer operator;broadMatch
Machinists;fitter and turner;broadMatch
Machinists;computer numerical control machine operator;broadMatch
Machinists;screw machine operator;broadMatch
Machinists;milling machine operator;broadMatch
Machinists;tool and die maker;broadMatch
Metal-Refining Furnace Operators and Tenders;metal furnace operator;exactMatch
Pourers and Casters, Metal;foundry operative;exactMatch
Pourers and Casters, Metal;coquille casting worker;broadMatch
Model Makers, Metal and Plastic;casting mould maker;exactMatch
Model Makers, Metal and Plastic;model maker;narrowMatch
Foundry Mold and Coremakers;moulding machine operator;broadMatch
Foundry Mold and Coremakers;foundry moulder;exactMatch
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic;moulding machine operator;broadMatch
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic;casting machine operator;broadMatch
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic;blow moulding machine operator;broadMatch
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic;optical disc moulding machine operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;swaging machine operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;deburring machine operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;metal nibbling operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;screw machine operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;punch press operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;gear machinist;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;straightening machine operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;drill press operator;broadMatch
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;fitter and turner;broadMatch
Tool and Die Makers;tool and die maker;exactMatch
Welders, Cutters, Solderers, and Brazers;solderer;broadMatch
Welders, Cutters, Solderers, and Brazers;spot welder;broadMatch
Welders, Cutters, Solderers, and Brazers;brazier;broadMatch
Welders, Cutters, Solderers, and Brazers;welder;broadMatch
Welders, Cutters, Solderers, and Brazers;pipe welder;broadMatch
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders;wave soldering machine operator;exactMatch
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders;laser beam welder;broadMatch
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders;oxy fuel burning machine operator;broadMatch
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders;plasma cutting machine operator;broadMatch
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders;spark erosion machine operator;broadMatch
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic;metal furnace operator;broadMatch
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic;plastic heat treatment equipment operator;broadMatch
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic;heat treatment furnace operator;broadMatch
Plating Machine Setters, Operators, and Tenders, Metal and Plastic;electroplating machine operator;broadMatch
Plating Machine Setters, Operators, and Tenders, Metal and Plastic;dip tank operator;broadMatch
Plating Machine Setters, Operators, and Tenders, Metal and Plastic;coating machine operator;broadMatch
Plating Machine Setters, Operators, and Tenders, Metal and Plastic;enameller;broadMatch
Plating Machine Setters, Operators, and Tenders, Metal and Plastic;anodising machine operator;broadMatch
Tool Grinders, Filers, and Sharpeners;tool grinder;exactMatch
Metal Workers and Plastic Workers, All Other;chain making machine operator;broadMatch
Metal Workers and Plastic Workers, All Other;metal additive manufacturing operator;broadMatch
Metal Workers and Plastic Workers, All Other;metal furniture machine operator;broadMatch
Metal Workers and Plastic Workers, All Other;scrap metal operative;broadMatch
Prepress Technicians and Workers;imagesetter;broadMatch
Prepress Technicians and Workers;prepress operator;broadMatch
Prepress Technicians and Workers;typesetter;broadMatch
Prepress Technicians and Workers;prepress technician;broadMatch
Printing Press Operators;gravure press operator;broadMatch
Printing Press Operators;flexographic press operator;broadMatch
Printing Press Operators;offset printer;broadMatch
Printing Press Operators;paper embossing press operator;broadMatch
Printing Press Operators;screen printer;broadMatch
Printing Press Operators;lithographer;broadMatch
Printing Press Operators;digital printer;broadMatch
Printing Press Operators;hot foil operator;broadMatch
Print Binding and Finishing Workers;bindery operator;broadMatch
Print Binding and Finishing Workers;book-sewing machine operator;broadMatch
Laundry and Dry-Cleaning Workers;laundry worker;exactMatch
Pressers, Textile, Garment, and Related Materials;laundry ironer;broadMatch
Pressers, Textile, Garment, and Related Materials;wearing apparel presser;exactMatch
Sewing Machine Operators;embroidery machine operator;broadMatch
Sewing Machine Operators;sewing machinist;broadMatch
Sewing Machine Operators;sewing machine operator;exactMatch
Sewing Machine Operators;leather goods stitching machine operator;broadMatch
Shoe and Leather Workers and Repairers;leather goods manufacturing technician;broadMatch
Shoe and Leather Workers and Repairers;footwear hand sewer;broadMatch
Shoe and Leather Workers and Repairers;leather goods hand stitcher;broadMatch
Shoe and Leather Workers and Repairers;bespoke footwear technician;broadMatch
Shoe and Leather Workers and Repairers;leather goods manual operator;broadMatch
Shoe and Leather Workers and Repairers;shoemaker;broadMatch
Shoe and Leather Workers and Repairers;leather goods artisanal worker;broadMatch
Shoe and Leather Workers and Repairers;leather goods machine operator;broadMatch
Shoe and Leather Workers and Repairers;shoe repairer;broadMatch
Shoe and Leather Workers and Repairers;hand lasting operator;broadMatch
Shoe and Leather Workers and Repairers;pre-lasting operator;broadMatch
Shoe Machine Operators and Tenders;sole and heel operator;broadMatch
Shoe Machine Operators and Tenders;lasting machine operator;broadMatch
Shoe Machine Operators and Tenders;footwear production machine operator;broadMatch
Shoe Machine Operators and Tenders;footwear stitching machine operator;broadMatch
Shoe Machine Operators and Tenders;pre-stitching machine operator;broadMatch
Sewers, Hand;footwear hand sewer;broadMatch
Sewers, Hand;leather goods hand stitcher;broadMatch
Sewers, Hand;mattress maker;broadMatch
Tailors, Dressmakers, and Custom Sewers;milliner;broadMatch
Tailors, Dressmakers, and Custom Sewers;tailor;broadMatch
Tailors, Dressmakers, and Custom Sewers;protective clothing apparel manufacturer;broadMatch
Tailors, Dressmakers, and Custom Sewers;dressmaker;broadMatch
Textile Bleaching and Dyeing Machine Operators and Tenders;textile dyer;broadMatch
Textile Bleaching and Dyeing Machine Operators and Tenders;textile dyeing technician;broadMatch
Textile Bleaching and Dyeing Machine Operators and Tenders;finishing textile technician;broadMatch
Textile Cutting Machine Setters, Operators, and Tenders;cutting machine operator;exactMatch
Textile Knitting and Weaving Machine Setters, Operators, and Tenders;weaving machine operator;broadMatch
Textile Knitting and Weaving Machine Setters, Operators, and Tenders;knitting textile technician;broadMatch
Textile Knitting and Weaving Machine Setters, Operators, and Tenders;knitting machine operator;broadMatch
Textile Knitting and Weaving Machine Setters, Operators, and Tenders;weaving machine supervisor;broadMatch
Textile Knitting and Weaving Machine Setters, Operators, and Tenders;weaving textile technician;broadMatch
Textile Knitting and Weaving Machine Setters, Operators, and Tenders;carpet weaver;broadMatch
Textile Knitting and Weaving Machine Setters, Operators, and Tenders;tufting operator;broadMatch
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;twisting machine operator;broadMatch
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;spinning machine operator;broadMatch
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;winding machine operator;broadMatch
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;braiding machine operator;broadMatch
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;braiding textile technician;broadMatch
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;man-made fiber spinner;broadMatch
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers;fibre machine tender;exactMatch
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers;nonwoven  textile technician;broadMatch
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers;nonwoven filament machine operator;broadMatch
Fabric and Apparel Patternmakers;wearing apparel patternmaker;exactMatch
Upholsterers;furniture upholsterer;broadMatch
Upholsterers;marine upholsterer;broadMatch
Upholsterers;motor vehicle upholsterer;broadMatch
Upholsterers;upholsterer;exactMatch
Upholsterers;railway car upholsterer;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;canvas goods assembler;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;clothing process control technician;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;clothing quality inspector;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;clothing technologist;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;glove maker;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;leather measuring operator;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;leather production machine operator;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;made-up textile articles manufacturer;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;mattress making machine operator;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;nonwoven staple machine operator;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;printing textile technician;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;sectional belt mould assembler;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;spinning textile technician;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;tanner;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;textile colourist;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;textile finishing machine operator;broadMatch
Textile, Apparel, and Furnishings Workers, All Other;textile machine operator;broadMatch
Cabinetmakers and Bench Carpenters;wooden furniture machine operator;broadMatch
Cabinetmakers and Bench Carpenters;cabinet maker;exactMatch
Furniture Finishers;furniture restorer;broadMatch
Sawing Machine Setters, Operators, and Tenders, Wood;band saw operator;broadMatch
Sawing Machine Setters, Operators, and Tenders, Wood;table saw operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;chipper operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;planer thicknesser operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;nailing machine operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;wood boring machine operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;wood router operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;wooden furniture machine operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;engineered wood board machine operator;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;woodturner;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;wood pallet maker;broadMatch
Woodworking Machine Setters, Operators, and Tenders, Except Sawing;wood treater;broadMatch
Woodworkers, All Other;cooper;broadMatch
Woodworkers, All Other;wood fuel pelletiser;broadMatch
Nuclear Power Reactor Operators;nuclear reactor operator;exactMatch
Nuclear Power Reactor Operators;power production plant operator;narrowMatch
Power Distributors and Dispatchers;electrical power distributor;broadMatch
Power Distributors and Dispatchers;electrical transmission system operator;broadMatch
Power Plant Operators;geothermal power plant operator;broadMatch
Power Plant Operators;offshore renewable energy plant operator;broadMatch
Power Plant Operators;steam turbine operator;broadMatch
Power Plant Operators;hydroelectric plant operator;broadMatch
Power Plant Operators;fossil-fuel power plant operator;broadMatch
Power Plant Operators;power production plant operator;broadMatch
Power Plant Operators;power plant control room operator;broadMatch
Biomass Plant Technicians;biogas technician;exactMatch
Hydroelectric Plant Technicians;hydropower technician;exactMatch
Stationary Engineers and Boiler Operators;steam engineer;broadMatch
Stationary Engineers and Boiler Operators;boiler operator;broadMatch
Stationary Engineers and Boiler Operators;steam plant operator;broadMatch
Water and Wastewater Treatment Plant and System Operators;wastewater treatment operator;broadMatch
Water and Wastewater Treatment Plant and System Operators;water treatment systems operator;broadMatch
Water and Wastewater Treatment Plant and System Operators;desalination technician;broadMatch
Chemical Plant and System Operators;soap tower operator;broadMatch
Chemical Plant and System Operators;air separation plant operator;broadMatch
Chemical Plant and System Operators;nitrator operator;broadMatch
Chemical Plant and System Operators;chemical plant control room operator;broadMatch
Chemical Plant and System Operators;soap drier operator;broadMatch
Chemical Plant and System Operators;nitroglycerin separator operator;broadMatch
Chemical Plant and System Operators;chemical mixer;broadMatch
Chemical Plant and System Operators;chemical processing plant controller;broadMatch
Gas Plant Operators;gas station operator;exactMatch
Gas Plant Operators;gas processing plant control room operator;broadMatch
Petroleum Pump System Operators, Refinery Operators, and Gaugers;oil refinery control room operator;broadMatch
Petroleum Pump System Operators, Refinery Operators, and Gaugers;gauger;broadMatch
Petroleum Pump System Operators, Refinery Operators, and Gaugers;petroleum pump system operator;broadMatch
Plant and System Operators, All Other;incinerator operator;broadMatch
Chemical Equipment Operators and Tenders;coagulation operator;broadMatch
Chemical Equipment Operators and Tenders;froth flotation deinking operator;broadMatch
Chemical Equipment Operators and Tenders;granulator machine operator;broadMatch
Chemical Equipment Operators and Tenders;varnish maker;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;centrifuge operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;distillation operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;beverage filtration technician;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;clarifier;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;cellar operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;cider fermentation operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;dairy processing operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;dairy products manufacturing worker;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;digester operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;fermenter operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;germination operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;hydrogenation machine operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;pulp control operator;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;pulp technician;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;vermouth manufacturer;broadMatch
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;wine fermenter;broadMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;cylindrical grinder operator;broadMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;surface grinding machine operator;broadMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;grinding machine operator;broadMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;mineral crushing operator;broadMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;mineral processing operator;narrowMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;distillery miller;broadMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;liquor grinding mill operator;broadMatch
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;soap chipper;broadMatch
Grinding and Polishing Workers, Hand;stone polisher;broadMatch
Grinding and Polishing Workers, Hand;glass polisher;broadMatch
Grinding and Polishing Workers, Hand;tool grinder;broadMatch
Grinding and Polishing Workers, Hand;metal polisher;broadMatch
Grinding and Polishing Workers, Hand;wood sander;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;tracer powder blender;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;paint mixer;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;fertiliser mixer;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;pesticide mixer;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;blender operator;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;chemical mixer;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;extract mixer tester;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;blending plant operator;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;slate mixer;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;kettle tender;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;carbonation operator;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;colour sampling operator;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;lacquer maker;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;nitroglycerin neutraliser;broadMatch
Mixing and Blending Machine Setters, Operators, and Tenders;perfume production machine operator;broadMatch
Cutters and Trimmers, Hand;leather goods hand cutting operator;broadMatch
